"status_1165", "MiGS: Only 3rd Party 3-D Secure is supported for MiGS"
"status_1166", "MiGS: Unable to establish connection"
"status_1167", "MiGS: Unsupported method"
"status_250", "Prereg: Invalid reference"
"status_251", "Prereg: Merchant Not Subscribed"
"status_252", "Prereg: Invalid reference - vTID group mismatch"
"status_255", "BatchInput: Not authorised"
"status_256", "BatchInput: Too many files"
"status_257", "BatchInput: Input file too big"
"status_258", "BatchInput: Input format not recognised"
"status_259", "BatchInput: The compressed and encoded batch data is corrupt"
"status_260", "BatchInput: Data file parse failure"
"status_261", "BatchInput: Malformed data file header"
"status_262", "BatchInput: Invalid transaction count"
"status_263", "BatchInput: Invalid total amount     "
"status_264", "BatchInput: Batch file format violation "
"status_265", "BatchInput: Illegal batch data value "
"status_266", "BatchInput: Processing aborted - cannot have empty mandatory field"
"status_267", "BatchInput: Processing aborted - cannot use different vTIDs in XML batches"
"status_268", "BatchInput: Processing aborted - cannot use query txns via this interface"
"status_270", "Not authorised to perform query txns"
"status_272", "BatchInput: Unprocessed"
"status_273", "BatchInput: Processing"
"status_275", "BatchInput: Processing Failed"
"status_276", "BatchInput: No preprocessed transaction found"
"status_290", "Missing or corrupted Flight Leg number"
"status_291", "Support for Airlines transaction not enabled "
"status_292", "Duplicate passenger reference"
"status_293", "Airlines ticket prices do not reconcile with transaction amount"
"status_294", "Airlines: Data already supplied"
"status_295", "Airlines: pre/erp txn for this amex airlines fulfill contained no airlines data"
"status_296", "Airlines: No airlines data supplied for this transaction"
"status_297", "Airlines: Invalid extended data"
"status_298", "Airlines: Invalid refund"
"status_299", "Airlines: Invalid capturemethod"
"status_301", "Address Record not supported"
"status_310", "T3M: Not subscribed"
"status_311", "T3M: Cannot mix old and new schema formats"
"status_312", "T3M: Validation Error"
"status_313", "T3M Batching error"
"status_314", "T3M:PayPal Validation Error"
"status_315", "T3M:Fraud only Validation Error"
"status_316", "T3M:Fraud only Response Error"
"status_317", "T3M:Fraud only Communication Error"
"status_318", "T3M:Fraud only Response Error"
"status_319", "T3M:Fraud only Communication error"
"status_1126", "Transaction rejected by the RSG"
"status_1127", "Transaction marked for review"
"status_1128", "Referenced transaction cannot be accepted"
"status_1130", "Invalid RSG service specified"
"status_1131", "Transaction has expired and cannot be completed"
"status_1133", "The RSG service can only be used in the ecomm, cnp or cont_auth environments"
"status_1134", "Not subscribed to the RSG service"
"status_1135", "Referenced transaction not found"
"status_1136", "Fire and Forget Continuous Authority transactions not supported with the RSG service"
"status_1137", "Historic Continuous Authority transactions not supported with the RSG service"
"status_1138", "Other fraud screening services cannot be used in conjunction with the RSG service"
"status_1139", "Method unsupported for the RSG service"
"status_1140", "Transaction marked for review"
"status_320", "OTR: Merchant Reference invalid for acquirer"
"status_321", "OTR: Acquirer configuration missing"
"status_330", "Merchant not subscribed for Smart Voucher"
"status_331", "Missing Field"
"status_332", "Invalid capturemethod"
"status_333", "Invalid voucher number"
"status_334", "Invalid product code"
"status_335", "Invalid account number"
"status_336", "Invalid Smart Voucher value"
"status_337", "Purchase value >= Redeem value"
"status_338", "Service incompatible with SmartVoucher"
"status_339", "APACS30: wrong product code"
"status_340", "APACS30: wrong voucher value"
"status_345", "Merchant not subscribed for merchant ref cancellations"
"status_346", "Merchant ref is not unique"
"status_347", "Cannot cancel this txn type by merchant ref"
"status_348", "Do not supply a merchant reference and DataCash   reference"
"status_350", "Age Verification: Connection Error"
"status_351", "Age Verification: No Response"
"status_352", "Age Verification: Invalid Response"
"status_353", "Age Verification: Error Response"
"status_354", "Age Verification: Not Subscribed"
"status_355", "Age Verification: Bad Configuration"
"status_356", "Age Verification: Missing Data"
"status_357", "Age Verification: Extra Data"
"status_358", "Age Verification: Invalid Data"
"status_359", "Age Verification: Incorrect Response"
"status_370", "Allocated reference already used"
"status_371", "Allocated reference had expired"
"status_372", "Not an allocated reference"
"status_373", "Cannot allocate references in this environment"
"status_374", "Cannot cancel unused reference"
"status_380", "Not subscribed for GCX DCC"
"status_381", "Invalid transaction details"
"status_382", "Invalid method"
"status_383", "Invalid scheme"
"status_384", "Invalid clearinghouse"
